,place,review,date
142,Panini Papa,"Всё вкусно, уютно, обслуживание на высшем уровне! Новогодний интерьер создает соответствующее настроение☺️",25 ноября
143,Panini Papa,Очеь вкусная еда и приятные персонал,25 ноября
144,Panini Papa,"Место которое вам точно нужно посетить. 

Зашли сюда на ужин компанией в выходной день. Все столики были заняты, но даже в такой ситцации администратор, смог найти для нас место! За зто ему отделтное спасибо и плюсик в карму❤️
 
Очень вежливые и учтивые официанты. Подача блюд-быстрая. Нет долгого и мучительного ожидания. 
Особенно хочется отметить томатный суп с морепродуктами. Очень рекомендую его попробывать! 
Обязательно зайду теперь попробовать и их бизнес ланчи!",25 ноября
145,Panini Papa,Все очень вкусно! Лучшие пасты в городе 🙏,25 ноября
146,Panini Papa,"Отлично, атмосфера хорошая.",24 ноября
147,Panini Papa,"Зимой очень холодно в помещении, еда средняя, цены средние. Из за отсутсвии серьезных конкурентов в городе этот ресторан до сих пор существует.",23 ноября
148,Panini Papa,"Отличное кафе. Вкусно, чисто, уютно. Персонал внимательный. Рекомендую.",22 ноября
149,Panini Papa,"Угощали пиццей, было вкусно 😋",21 ноября
150,Panini Papa,"Отличный формат заведения, хорошая музыка, приятный персонал, однозначно рекомендую!",21 ноября
151,Panini Papa,"Любимое кафе, всегда радуют вкусными блюдами и хорошим обслуживанием, официанты приветливые и вежливые. Любим ходить сюда и заказывать на дом.",18 ноября
152,Panini Papa,"Приятный ресторан с не менее приятным и разнообразным меню, глаза разбегаются когда листаешь.
Заведение выделяется интересным интерьером, вежливыми официантами которые успевают выделить время для всех столиков. 
Все блюда вкусные и бар не отстает)",17 ноября
153,Panini Papa,"Отличное кафе - ресторан 🍽️ 
Ни одного минуса пока не увидел за несколько посещений .
Очень приятный персонал. Знают тонкости ресторанного дела . Быстрое приготовление ! Качество на этом не страдает ! Стоимость приемлемая ! Твердая 5 с плюсом ! Спасибо 🙏🏼",16 ноября
154,Panini Papa,Уютное место с хорошим обслуживанием и вкусной кухней. Отличное место для вечерних посиделок и семейных праздников,15 ноября
155,Panini Papa,"тут красиво и мило,спасибо 😍",15 ноября
156,Panini Papa,"Все очень вкусно и красиво, спасибо большое!!!",15 ноября
157,Panini Papa,"В Новокуйбышевске ходим только в Panini Papa… а если не ходим, то доставка всегда порадует))) Атмосфера такая уютная, персонал приветлив и внимателен. Сегодня заказали их фирменную пиццу — это просто невероятно вкусно! Обязательно вернемся сюда снова!",15 ноября
158,Panini Papa,"Мне нравится здесь бывать в детьми, есть мастер-класс по приготовлению пиццы.",13 ноября
159,Panini Papa,"Отличное заведение, всё очень вкусно.",13 ноября
160,Panini Papa,"Была проездом , из положительного только обслуживание, заказывала, цезарь , суп и пицца. Что касается салата-курицы мало, томатный суп с морепродуктами- ощущение из судака были только плавники , одна креветка на весь суп, зато мидий наклали( их не ела),наверное срок годности подходил к завершению , ну или уже…так же попалась кость… официант, сказала, так бывает)))ну а про пиццу ничего не могу сказать , так как была обычная маргарита…вообщем не понимаю , чем данное заведение пользуется популярностью… наверное для жителей этого города , блюда в которых не хватает продуктов-является нормой",12 ноября
161,Panini Papa,"Хорошее кафе для посещения семей. Очень уютно, хорошее обслуживание. Вкусное приготовленные блюда. Хочется прийти ещё. 🎉",11 ноября
162,Panini Papa,"Уютное место, где можно отдохнуть и вкусно поесть. Приятная музыка и хорошее обслуживание",11 ноября
163,Panini Papa,"Все очень понравилось. Музыка, кухня, обслуживание. Одно из лучших заведений в нашем городе!
Понравился интерьер и подача блюд. Спасибо!",11 ноября
164,Panini Papa,Всё замечательно просто шикарно,11 ноября
165,Panini Papa,"Все очень понравилось,вкусная еда,хорошая обстановка,вежливый персонал!Все культурно и спокойно!",11 ноября
166,Panini Papa,"Вежливый персонал,уютное место и очень вкусная еда. Спасибо за прекрасно проведенный вечер)",11 ноября
167,Panini Papa,"Приятное место. Отличные официанты. Вкуснейшая кухня. Не очень живописный вид из окна, но это не зависит от ресторана. 
Однозначно рекомендую!",9 ноября
168,Panini Papa,"Посещаем данное заведение на протяжении нескольких лет ! Каждый раз Все очень вкусно ! Блюда отдаются быстро, цена соответствует качеству! Рабочий персонал -Официанты и администраторы отдельный вид искусства! Знают свою работу ! Вежливо и грамотно общаются ! Спасибо панини папа! 🖤🖤🖤",7 ноября
169,Panini Papa,"Хорошее место, ежедневно обедаю и провожу встречи. Персонал приветливый, отзывчивый и красивый☺️. Рекомендую. Панини спасибо за гостеприимство. Офицант Аленка лучшая",6 ноября
170,Panini Papa,"Не первый раз в этом заведении, все как всегда очень вкусно и быстро, лучшее заведение в городе
Придем сюда ещё не раз,,❤️",6 ноября
171,Panini Papa,"Оооочень вкусно, отличное обслуживание, минимум ожидания, все супер…. Очень отзывчивый официант-Аленка!!!!",6 ноября
172,Panini Papa,"Аленка вежливая и приветливая девушка, гостеприимная и знающая свое дело.",6 ноября
173,Panini Papa,"Официант Аленка, очень приветливая и грамотная девушка. Приятная в общении.",6 ноября
174,Panini Papa,"Всё вкусно,быстрая подача.официант знает свое дело!!!",6 ноября
175,Panini Papa,"Отличное место.
Вкусная еда.
Внимательные официанты.",6 ноября
176,Panini Papa,"Отличный ресторан, приятный и вежливый администратор, отличная еда. Официант Данил очень внимательный и профессионал своего дела!👍👍👍👍",5 ноября
177,Panini Papa,"Отдохнуть можно, порции конечно маленькие, ценник завышен на блюда. Детское меню есть, но детям пицца не понравилась.",4 ноября
178,Panini Papa,"Не очень понравилось. По рецептуре к примеру очень невкусный торт, который только назвали Молочная девочка, на самом деле советский бисквит с кремом и сверху с ягодным джемом. Чай облепиховый только с запахом облепихи, очень похож на порошок разведённый.",4 ноября
179,Panini Papa,"Вкусно ,вежливый персонал ,мне очень понравилось",4 ноября
180,Panini Papa,"Уютное место для отдыха, встреч и работы с ноутбуком (розетки есть у каждого столика). Приятная атмосфера и вкусная еда, вежливый персонал.",3 ноября
181,Panini Papa,"Еда вкусная,приготовлена с душой, доброжелательный персонал. Советую посещать данное заведение как можно чаще!",3 ноября
182,Panini Papa,"Обожаю этот ресторан! Самое лучшее место в городе! Вкусная кухня, и для взрослых, и для детей.",3 ноября
183,Panini Papa,"Все нравится. Регулярно посещаем это кафе . Атмосфера замечательная, есть комната для детей . Официанты внимательные , персонал приветливый . Поддерживайте свой уровень 👍🏻",3 ноября
184,Panini Papa,Вкусно и уютно для посиделок со школьными друзьями . Спасибо за хорошее обслуживание,3 ноября
185,Panini Papa,"уютное место для времяпрепровождения с семьей. быстрое обслуживание,вкусные блюда и вежливые официанты.",3 ноября
186,Panini Papa,"Были в Panini Papa всей семьёй, всё понравилось, было всё вкусно, пицца, закуска, супы, объелись все))) Обслуживание на высшем уровне! Обязательно придём ещё!!!",3 ноября
187,Panini Papa,"Тепло, уютно, душевно и ооочень вкусно ! Можно найти блюда на любой вкус и предпочтения!",3 ноября
188,Panini Papa,Очень уютное место. Приятный обслуживающий персонал!,3 ноября
189,Panini Papa,"Ходим сюда всей семьей , уже ни один раз , вкусно , всегда приятное обслуживание , вкусная еда , приятная атмосфера , ставлю пять звезд",3 ноября
190,Panini Papa,Было все очень вкусно!,3 ноября
191,Panini Papa,"Все вчегда очень вкусно, всегда вежливый и отзывчивый персонал, уютная домашняя атмосфера)) учитывают все пожелания и особенности",3 ноября
192,Panini Papa,"Очень понравилось кафе. Большой выбор блюд, приятная обстановка. Очень вкусное гранатовое вино)) Мидии в сливочном соусе обязательно надо попробовать. Многие приходят с детьми. Есть детская игровая. Рекомендую к посещению.",3 ноября
193,Panini Papa,Только бизнес-ланч,3 ноября
194,Panini Papa,"Уютное семейное местечко. Вкусная еда. Есть детская комната,что не мало важно для отдыха с семьёй.",2 ноября
195,Panini Papa,"Раньше было лучше

Официанты приятные, обстановка тоже. А вот кухня слабая( заказали пиццу и салаты. Пицца вкусная, а салаты - разочарование. В 3х разных салатах странный салатный микс, горький, с несъедобными кочерыжками, заправки в салатах мало ужас((

Примерно 2 года назад все было вкуснее.

Ах да, ещё запахи с кухни летят, видимо вытяжка не очень",1 ноября
196,Panini Papa,"Добрые и отзывчивые официанты, вкусная кухня👍",1 ноября
197,Panini Papa,"Очень вкусно, отличное заведение! Но иногда девочки-официанты не всегда внимательны. Бар на ура",1 ноября
198,Panini Papa,Качество еды на 4 обслуживание на 5,1 ноября
