,name,geometry,addr:street,addr:housenumber,centroid,lat,lon,address
49,,"POLYGON ((49.9614029 53.0980197, 49.9618337 53.0974522, 49.962003 53.0974985, 49.9615722 53.0980661, 49.9614029 53.0980197))",улица Островского,17А,POINT (49.96170293873179 53.09775914312001),53.09775914312001,49.96170293873179,Новокуйбышевск улица Островского 17А
50,,"POLYGON ((49.9623346 53.0989174, 49.9625013 53.0989631, 49.96293 53.0983992, 49.9627633 53.0983535, 49.9623346 53.0989174))",улица Островского,21,POINT (49.962632299999996 53.0986583),53.0986583,49.9626323,Новокуйбышевск улица Островского 21
51,,"POLYGON ((49.9609642 53.0976511, 49.9614066 53.0970536, 49.9615793 53.0970997, 49.9611369 53.0976972, 49.9609642 53.0976511))",улица Островского,17,POINT (49.96127175000001 53.0973754),53.0973754,49.96127175000001,Новокуйбышевск улица Островского 17
52,,"POLYGON ((49.9756104 53.0998805, 49.975494 53.1001087, 49.9756623 53.1001397, 49.9756349 53.1001932, 49.9758262 53.1002284, 49.9758514 53.1001789, 49.9760443 53.1002144, 49.9761617 53.0999842, 49.9761092 53.0999745, 49.976192 53.0998121, 49.9762484 53.0998225, 49.9763672 53.0995896, 49.9761939 53.0995577, 49.9762216 53.0995034, 49.9760357 53.0994692, 49.9760083 53.0995229, 49.9758168 53.0994877, 49.9757009 53.099715, 49.9757585 53.0997256, 49.9756736 53.0998921, 49.9756104 53.0998805))",улица Дзержинского,41А,POINT (49.97593160179258 53.099850310137775),53.099850310137775,49.97593160179258,Новокуйбышевск улица Дзержинского 41А
53,,"POLYGON ((49.992653 53.0891135, 49.9928482 53.0890413, 49.992886 53.0890782, 49.9929212 53.0890651, 49.9929938 53.0891359, 49.9930186 53.0891268, 49.9930545 53.0891618, 49.9929669 53.0891942, 49.9930029 53.0892293, 49.9928683 53.0892791, 49.9928292 53.089241, 49.9927629 53.0892655, 49.9926574 53.0891625, 49.9926907 53.0891502, 49.992653 53.0891135))",проспект Победы,47,POINT (49.99284316654961 53.08916153789819),53.08916153789819,49.99284316654961,Новокуйбышевск проспект Победы 47
54,,"POLYGON ((49.9922164 53.0890218, 49.9924114 53.0889497, 49.9924491 53.0889865, 49.9924846 53.0889734, 49.9925572 53.0890442, 49.9925818 53.089035, 49.9926178 53.0890701, 49.9925302 53.0891025, 49.9925661 53.0891376, 49.9924316 53.0891874, 49.9923925 53.0891492, 49.992326 53.0891738, 49.9922205 53.0890708, 49.9922539 53.0890585, 49.9922164 53.0890218))",проспект Победы,47А,POINT (49.99240643763883 53.089069858625116),53.08906985862512,49.99240643763883,Новокуйбышевск проспект Победы 47А
55,,"POLYGON ((49.9863763 53.0911502, 49.9865712 53.0910779, 49.9866091 53.0911148, 49.9866444 53.0911017, 49.9867171 53.0911724, 49.9867417 53.0911633, 49.9867777 53.0911983, 49.9866901 53.0912307, 49.986726 53.0912657, 49.9865914 53.0913156, 49.9865523 53.0912775, 49.9864861 53.091302, 49.9863804 53.0911992, 49.9864139 53.0911867, 49.9863763 53.0911502))",проспект Победы,37,POINT (49.98656633302807 53.091198094705945),53.091198094705945,49.98656633302807,Новокуйбышевск проспект Победы 37
56,,"POLYGON ((49.9839692 53.0920007, 49.9841643 53.0919284, 49.9842022 53.0919653, 49.9842374 53.0919523, 49.98431 53.092023, 49.9843348 53.0920138, 49.9843709 53.0920489, 49.9842832 53.0920814, 49.9843191 53.0921163, 49.9841846 53.0921661, 49.9841454 53.092128, 49.9840791 53.0921526, 49.9839734 53.0920497, 49.9840069 53.0920373, 49.9839692 53.0920007))",проспект Победы,31,POINT (49.98415936468584 53.09204863324747),53.09204863324747,49.98415936468584,Новокуйбышевск проспект Победы 31
57,,"POLYGON ((49.9588503 53.0981663, 49.9589571 53.0982699, 49.9586105 53.0983986, 49.9588338 53.0986153, 49.9592001 53.0984792, 49.9592899 53.0985663, 49.9584059 53.0988948, 49.9583165 53.0988081, 49.9586649 53.0986786, 49.9584364 53.0984569, 49.9580671 53.0985941, 49.9579652 53.0984952, 49.9588503 53.0981663))",улица Пирогова,16Б,POINT (49.95862402662057 53.09852437534406),53.09852437534406,49.95862402662057,Новокуйбышевск улица Пирогова 16Б
58,,"POLYGON ((49.9725454 53.0931535, 49.9727634 53.0928516, 49.9729455 53.092899, 49.9728379 53.093048, 49.9730679 53.0931079, 49.973176 53.0929581, 49.973367 53.0930078, 49.9731506 53.0933076, 49.9729646 53.0932592, 49.9730288 53.0931703, 49.972794 53.0931092, 49.9727278 53.093201, 49.9725454 53.0931535))",Киевская улица,33,POINT (49.97295534145666 53.093083289948275),53.09308328994828,49.97295534145666,Новокуйбышевск Киевская улица 33
59,,"POLYGON ((49.9889662 53.0906427, 49.9891181 53.09056, 49.9901016 53.0912114, 49.9899497 53.0912941, 49.9889662 53.0906427))",улица Будённого,8А,POINT (49.989533900000005 53.09092705),53.09092705,49.989533900000005,Новокуйбышевск улица Будённого 8А
60,,"POLYGON ((49.9903543 53.0913977, 49.991422 53.0907792, 49.9912823 53.0906923, 49.9902146 53.0913107, 49.9903543 53.0913977))",улица Будённого,6,POINT (49.99081824790482 53.091045006265745),53.09104500626575,49.99081824790482,Новокуйбышевск улица Будённого 6
61,,"POLYGON ((49.9906211 53.091604, 49.9907627 53.0916906, 49.9918028 53.0910773, 49.9916613 53.0909907, 49.9906211 53.091604))",улица Будённого,4,POINT (49.99121194436968 53.091340667366644),53.09134066736664,49.99121194436968,Новокуйбышевск улица Будённого 4
62,,"POLYGON ((49.9910184 53.0919117, 49.991152 53.0919932, 49.9922097 53.091368, 49.9920762 53.0912865, 49.9910184 53.0919117))",улица Будённого,2,POINT (49.99161404199169 53.091639868868),53.091639868868,49.99161404199169,Новокуйбышевск улица Будённого 2
63,,"POLYGON ((49.9915317 53.0920062, 49.991729 53.0921309, 49.9919477 53.0920062, 49.9917504 53.0918814, 49.9915317 53.0920062))",улица Ворошилова,16,POINT (49.99173970142952 53.092006166666664),53.09200616666666,49.99173970142952,Новокуйбышевск улица Ворошилова 16
64,,"POLYGON ((49.9926102 53.091603, 49.9927538 53.0916893, 49.9922697 53.0919801, 49.9921261 53.0918939, 49.9926102 53.091603))",улица Ворошилова,18,POINT (49.99243997132549 53.09179155971558),53.09179155971558,49.99243997132549,Новокуйбышевск улица Ворошилова 18
65,,"POLYGON ((49.9886301 53.0901973, 49.988729 53.0902934, 49.9878349 53.0906254, 49.987736 53.0905293, 49.9886301 53.0901973))",проспект Победы,41,POINT (49.988232499999995 53.09041135),53.09041135,49.9882325,Новокуйбышевск проспект Победы 41
66,"Бассейн ""Водолей""","POLYGON ((49.9890386 53.0914664, 49.9891803 53.0913874, 49.9892778 53.0914505, 49.9893259 53.0914237, 49.9894077 53.0914766, 49.9895984 53.0913702, 49.9896277 53.0913539, 49.9899022 53.0915315, 49.9894923 53.09176, 49.9890386 53.0914664))",проспект Победы,41А,POINT (49.989489352688324 53.09154145543209),53.09154145543209,49.98948935268832,Новокуйбышевск проспект Победы 41А
67,,"POLYGON ((49.9870762 53.091467, 49.9872483 53.0915032, 49.9877326 53.0906708, 49.9875604 53.0906346, 49.9870762 53.091467))",проспект Победы,39,POINT (49.987404396209136 53.091068864165585),53.09106886416559,49.987404396209136,Новокуйбышевск проспект Победы 39
68,,"POLYGON ((49.9883416 53.0914652, 49.9885293 53.0915056, 49.9880414 53.0923224, 49.9878537 53.092282, 49.9883416 53.0914652))",проспект Победы,39Б,POINT (49.98819149999999 53.091893799999994),53.0918938,49.98819149999999,Новокуйбышевск проспект Победы 39Б
69,,"POLYGON ((49.987475 53.0918738, 49.9876576 53.0919121, 49.988141 53.0910811, 49.9879584 53.0910428, 49.987475 53.0918738))",проспект Победы,39А,POINT (49.987807999999994 53.091477449999985),53.09147744999999,49.987808,Новокуйбышевск проспект Победы 39А
70,,"POLYGON ((49.9892026 53.0920815, 49.9893288 53.0920043, 49.9903723 53.0926195, 49.9902461 53.0926967, 49.9892026 53.0920815))",улица Ворошилова,14А,POINT (49.989787449999994 53.092350499999995),53.0923505,49.98978745,Новокуйбышевск улица Ворошилова 14А
71,,"POLYGON ((49.9899899 53.0919344, 49.9901294 53.0918539, 49.9909018 53.0923211, 49.9907624 53.0924015, 49.9899899 53.0919344))",улица Ворошилова,14Б,POINT (49.99044581285065 53.0921276867778),53.0921276867778,49.99044581285065,Новокуйбышевск улица Ворошилова 14Б
72,,"POLYGON ((49.9904013 53.0927939, 49.9905244 53.0928681, 49.9915809 53.0922365, 49.9914578 53.0921622, 49.9904013 53.0927939))",улица Ворошилова,14,POINT (49.99099115874039 53.09251513890988),53.09251513890988,49.99099115874039,Новокуйбышевск улица Ворошилова 14
73,,"POLYGON ((49.9883907 53.0892824, 49.9884996 53.0893888, 49.9903342 53.0887116, 49.9902253 53.0886052, 49.9883907 53.0892824))",проспект Победы,50,POINT (49.98936245 53.088997000000006),53.088997000000006,49.98936245,Новокуйбышевск проспект Победы 50
74,,"POLYGON ((49.9906073 53.0875445, 49.9907827 53.087477, 49.9911397 53.0878114, 49.9909643 53.0878789, 49.9906073 53.0875445))",улица Карбышева,4,POINT (49.9908735 53.08767795),53.08767795,49.9908735,Новокуйбышевск улица Карбышева 4
75,,"POLYGON ((49.9886133 53.086927, 49.990408 53.0874308, 49.9904824 53.0873351, 49.9886878 53.0868313, 49.9886133 53.086927))",улица Карбышева,6,POINT (49.98954783870992 53.0871310402569),53.0871310402569,49.98954783870992,Новокуйбышевск улица Карбышева 6
76,,"POLYGON ((49.9620424 53.0890434, 49.9626711 53.0896297, 49.9628393 53.0895739, 49.9622199 53.0889802, 49.9620424 53.0890434))",улица Дзержинского,12,POINT (49.962439472622734 53.089303202722675),53.08930320272268,49.962439472622734,Новокуйбышевск улица Дзержинского 12
77,,"POLYGON ((49.9628462 53.0897327, 49.9630181 53.0896681, 49.9635835 53.0902109, 49.9634116 53.0902755, 49.9628462 53.0897327))",улица Дзержинского,14,POINT (49.96321485 53.089971799999994),53.0899718,49.96321485,Новокуйбышевск улица Дзержинского 14
78,,"POLYGON ((49.9621793 53.0888629, 49.9630746 53.0885209, 49.9631846 53.0886249, 49.962295 53.0889702, 49.9621793 53.0888629))",Молодёжная улица,3,POINT (49.96268061801269 53.08874576515764),53.08874576515764,49.96268061801269,Новокуйбышевск Молодёжная улица 3
79,,"POLYGON ((49.9632554 53.0884448, 49.9633589 53.0885474, 49.9642782 53.0881932, 49.9641658 53.088088, 49.9632554 53.0884448))",Молодёжная улица,5,POINT (49.96376778527772 53.08831716118902),53.08831716118902,49.96376778527772,Новокуйбышевск Молодёжная улица 5
